#MC-10 Binary Codes
#
80	FOR
81	GOTO
82	GOSUB
83	REM
84	IF
85	DATA
86	PRINT
87	ON
88	INPUT
89	END
8A	NEXT
8B	DIM
8C	READ
8D	LET
8E	RUN
8F	RESTORE
90	RETURN
91	STOP
92	POKE
93	CONT
94	LIST
95	CLEAR
96	NEW
97	CLOAD
98	CSAVE
99	LLIST
9A	LPRINT
9B	SET
9C	RESET
9D	CLS
9E	SOUND
9F	EXEC
A0	SKIPF
A1	TAB(
A2	TO
A3	THEN
A4	NOT
A5	STEP
A6	OFF
A7	+
A8	-
A9	*
AA	/
AB	^
AC	AND
AD	OR
AE	>
AF	=
B0	<
B1	SGN
B2	INT
B3	ABS
B4	USR
B5	RND
B6	SQR
B7	LOG
B8	EXP
B9	SIN
BA	COS
BB	TAN
BC	PEEK
BD	LEN
BE	STR$
BF	VAL
C0	ASC
C1	CHR$
C2	LEFT$
C3	RIGHT$
C4	MID$
C5	POINT
C6	VARPTR
C7	INKEY$
C8	MEM
